subject_ids,date,time,hour,location,temp_F,temp_C,choice,how_many,age,sex,bear_adults,bear_cubs,cam_interaction,activity,gun present
49170790,2019-08-29,15:14:43,15:00:00,Camera 1 Subjects,75,24,HUMAN,2,NA,NA,NA,NA,NA,foot,N
49244835,2019-08-30,14:45:42,14:00:00,Camera 3 Subjects,71,22,HUMAN,1,NA,NA,NA,NA,NA,foot,N
49245217,2019-08-30,15:32:00,15:00:00,Camera 4 Subjects,77,25,HUMAN,1,NA,NA,NA,NA,NA,foot,N
50077911,2019-08-31,9:38:44,9:00:00,Camera 5 Subjects,60,16,HUMAN,2,NA,NA,NA,NA,NA,foot,N
50077928,2019-08-31,9:53:01,9:00:00,Camera 5 Subjects,62,17,HUMAN,2,NA,NA,NA,NA,NA,foot,N
50077942,2019-08-31,12:04:02,12:00:00,Camera 5 Subjects,71,22,HUMAN,1,NA,NA,NA,NA,NA,foot,N
50077957,2019-08-31,12:13:12,12:00:00,Camera 5 Subjects,71,22,HUMAN,1,NA,NA,NA,NA,NA,foot,N
50077969,2019-08-31,12:31:10,12:00:00,Camera 5 Subjects,73,23,HUMAN,2,NA,NA,NA,NA,NA,foot,N
50077978,2019-08-31,13:08:21,13:00:00,Camera 5 Subjects,75,24,HUMAN,1,NA,NA,NA,NA,NA,non-motor,N
50077980,2019-08-31,13:16:06,13:00:00,Camera 5 Subjects,75,24,HUMAN,1,NA,NA,NA,NA,NA,non-motor,N
50077995,2019-08-31,13:21:33,13:00:00,Camera 5 Subjects,75,24,HUMAN,2,NA,NA,NA,NA,NA,non-motor,N
50078046,2019-08-31,16:31:29,16:00:00,Camera 5 Subjects,75,24,HUMAN,1,NA,NA,NA,NA,NA,foot,N
50078069,2019-08-31,17:05:04,17:00:00,Camera 5 Subjects,71,22,HUMAN,1,NA,NA,NA,NA,NA,foot,N
50078086,2019-08-31,17:42:53,17:00:00,Camera 5 Subjects,69,21,HUMAN,1,NA,NA,NA,NA,NA,non-motor,N
49529079,2019-08-31,10:28:32,10:00:00,Camera 7 Subjects,69,21,HUMAN,1,NA,NA,NA,NA,NA,foot,N
49532268,2019-08-31,11:39:34,11:00:00,Camera 8 Subjects,77,25,HUMAN,1,NA,NA,NA,NA,NA,foot,N
49170858,2019-09-01,17:39:59,17:00:00,1,69,21,BEAR,1,Adult,female,1,,Y,"['MOVING', 'INTERACTING']",
49767893,2019-09-01,11:50:59,11:00:00,Camera 11 Subjects,71,22,HUMAN,1,NA,NA,NA,NA,NA,foot,N
49769760,2019-09-01,13:08:10,13:00:00,Camera 12 Subjects,68,20,HUMAN,1,NA,NA,NA,NA,NA,foot,N
49998770,2019-09-01,14:07:26,14:00:00,Camera 13 Subjects,75,24,HUMAN,1,NA,NA,NA,NA,NA,foot,N
50000157,2019-09-01,15:17:35,15:00:00,Camera 14 Subjects,75,24,HUMAN,3,NA,NA,NA,NA,NA,foot,N
50078095,2019-09-01,11:15:58,11:00:00,Camera 5 Subjects,69,21,HUMAN,2,NA,NA,NA,NA,NA,non-motor,N
50078110,2019-09-01,11:54:30,11:00:00,Camera 5 Subjects,73,23,HUMAN,2,NA,NA,NA,NA,NA,non-motor,N
